City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
247,Kushima,JP,31.4583,131.2333,68.0,24,20,few clouds
248,Krasnovishersk,RU,60.4078,57.082,33.24,56,80,broken clouds
249,Ribeira Grande,PT,38.5167,-28.7,62.6,88,40,scattered clouds
250,Marondera,ZW,-18.1853,31.5519,49.93,82,97,overcast clouds
251,Burnie,AU,-41.0667,145.9167,64.0,73,64,broken clouds
252,Aksu,CN,41.1231,80.2644,71.08,19,80,broken clouds
253,Ponta Do Sol,PT,32.6667,-17.1,55.99,73,70,broken clouds
254,Maningrida,AU,-12.0667,134.2667,90.27,44,61,broken clouds
255,Tautira,PF,-17.7333,-149.15,80.6,74,20,few clouds
256,Berdigestyakh,RU,62.0989,126.6992,21.63,70,100,overcast clouds
257,Umm Lajj,SA,25.0213,37.2685,83.14,54,0,clear sky
258,Iqaluit,CA,63.7506,-68.5145,10.4,72,75,broken clouds
259,Ranau,MY,5.9538,116.6641,89.01,74,20,few clouds
260,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.4,100,0,clear sky
261,Talnakh,RU,69.4865,88.3972,-4.27,84,33,scattered clouds
262,Yilan,TW,24.757,121.753,71.01,99,100,overcast clouds
263,Antalaha,MG,-14.9003,50.2788,81.3,72,39,scattered clouds
264,Waipawa,NZ,-41.4122,175.5153,60.01,58,7,clear sky
265,Ust-Kut,RU,56.7938,105.7672,30.74,46,97,overcast clouds
266,Ecublens,CH,46.529,6.5626,43.0,82,67,broken clouds
267,Bredasdorp,ZA,-34.5322,20.0403,55.4,76,0,clear sky
268,Broome,US,42.2506,-75.833,43.0,87,90,overcast clouds
269,Camacha,PT,33.0833,-16.3333,60.8,77,40,scattered clouds
270,Monastyrshchina,RU,54.3496,31.838,45.19,78,65,broken clouds
271,Udachnyy,RU,66.4167,112.4,13.14,77,100,overcast clouds
272,Anadyr,RU,64.75,177.4833,24.8,93,75,light snow
273,Iroquois Falls,CA,48.7669,-80.6831,35.6,69,90,overcast clouds
274,Flinders,AU,-34.5833,150.8552,69.01,68,26,scattered clouds
275,Cizre,TR,37.3272,42.1903,76.89,37,67,broken clouds
276,New Norfolk,AU,-42.7826,147.0587,61.0,74,100,moderate rain
277,Luderitz,NA,-26.6481,15.1594,77.25,38,3,clear sky
